target	category	k562_cells	rpe1_cells	k562_control_count	rpe1_control_count	cross_context_eligible
RPL13	shared	214	44	10691	11485	True
RPL13A	shared	94	30	10691	11485	True
RPL14	shared	186	41	10691	11485	True
RPL15	shared	131	32	10691	11485	True
RPL17	shared	131	57	10691	11485	True
RPL18	shared	214	57	10691	11485	True
RPL18A	shared	51	33	10691	11485	True
RPL19	K562 only	203	0	10691	11485	False
RPL21	shared	200	25	10691	11485	False
RPL23	shared	351	101	10691	11485	True
RPL23A	shared	84	42	10691	11485	True
RPL24	shared	414	56	10691	11485	True
RPL26	shared	188	46	10691	11485	True
RPL27	K562 only	37	0	10691	11485	False
RPL27A	shared	176	35	10691	11485	True
RPL28	RPE1 only	0	33	10691	11485	False
RPL29	RPE1 only	0	34	10691	11485	False
RPL3	RPE1 only	0	21	10691	11485	False
RPL30	shared	301	38	10691	11485	True
RPL31	shared	251	35	10691	11485	True
RPL32	shared	155	59	10691	11485	True
RPL34	shared	242	28	10691	11485	False
RPL35	shared	35	66	10691	11485	True
RPL35A	shared	95	94	10691	11485	True
RPL36	shared	184	74	10691	11485	True
RPL36A	shared	74	48	10691	11485	True
RPL37	shared	288	35	10691	11485	True
RPL37A	shared	275	65	10691	11485	True
RPL38	shared	168	27	10691	11485	False
RPL39	shared	31	40	10691	11485	True
RPL4	shared	248	59	10691	11485	True
RPL5	shared	140	54	10691	11485	True
RPL6	shared	242	65	10691	11485	True
RPL7	shared	230	116	10691	11485	True
RPL7L1	shared	25	30	10691	11485	False
RPL8	shared	284	64	10691	11485	True
RPL9	shared	167	39	10691	11485	True
RPLP0	shared	128	96	10691	11485	True
RPLP1	K562 only	84	0	10691	11485	False
RPLP2	shared	191	57	10691	11485	True
RPN1	RPE1 only	0	69	10691	11485	False
RPN2	RPE1 only	0	64	10691	11485	False
RPP14	shared	53	43	10691	11485	True
RPP21	RPE1 only	0	124	10691	11485	False
RPP30	shared	97	36	10691	11485	True
RPP38	K562 only	49	0	10691	11485	False
RPP40	K562 only	78	0	10691	11485	False
RPRD1B	RPE1 only	0	70	10691	11485	False
RPS10	shared	98	17	10691	11485	False
RPS10-NUDT3	shared	164	45	10691	11485	True
RPS11	K562 only	227	0	10691	11485	False
RPS12	shared	401	25	10691	11485	False
RPS13	shared	124	121	10691	11485	True
RPS14	shared	143	47	10691	11485	True
RPS15	shared	18	39	10691	11485	False
RPS15A	shared	243	26	10691	11485	False
RPS16	K562 only	49	0	10691	11485	False
RPS17	shared	153	20	10691	11485	False
RPS18	shared	115	29	10691	11485	False
RPS19	shared	393	49	10691	11485	True
RPS19BP1	shared	52	25	10691	11485	False
RPS2	shared	48	47	10691	11485	True
RPS20	shared	182	29	10691	11485	False
RPS21	K562 only	65	0	10691	11485	False
RPS23	shared	92	25	10691	11485	False
RPS24	shared	204	33	10691	11485	True
RPS26	shared	75	30	10691	11485	True
RPS27	shared	154	55	10691	11485	True
RPS27A	shared	82	63	10691	11485	True
RPS28	K562 only	258	0	10691	11485	False
RPS29	shared	208	36	10691	11485	True
RPS3	shared	243	40	10691	11485	True
RPS3A	shared	113	34	10691	11485	True
RPS4X	K562 only	168	0	10691	11485	False
RPS5	K562 only	125	0	10691	11485	False
RPS6	shared	166	48	10691	11485	True
RPS7	shared	232	34	10691	11485	True
RPS8	RPE1 only	0	30	10691	11485	False
RPS9	shared	210	25	10691	11485	False
RPSA	K562 only	169	0	10691	11485	False
RPTOR	shared	81	30	10691	11485	True
RPUSD3	RPE1 only	0	111	10691	11485	False
RPUSD4	shared	118	65	10691	11485	True
RRM1	shared	65	65	10691	11485	True
RRM2	RPE1 only	0	191	10691	11485	False
RRN3	shared	38	42	10691	11485	True
RRP1	K562 only	90	0	10691	11485	False
RRP12	shared	191	28	10691	11485	False
RRP7A	K562 only	40	0	10691	11485	False
RRP9	shared	92	27	10691	11485	False
RRS1	shared	64	56	10691	11485	True
RSL1D1	shared	132	75	10691	11485	True
RSL24D1	K562 only	137	0	10691	11485	False
RTCB	shared	152	61	10691	11485	True
RTEL1	RPE1 only	0	305	10691	11485	False
RTF1	shared	53	44	10691	11485	True
RTRAF	RPE1 only	0	192	10691	11485	False
RTTN	RPE1 only	0	101	10691	11485	False
RUVBL1	shared	171	103	10691	11485	True
RUVBL2	RPE1 only	0	60	10691	11485	False
S100A1	RPE1 only	0	112	10691	11485	False
SACM1L	RPE1 only	0	71	10691	11485	False
SAE1	shared	104	93	10691	11485	True
SAMD4B	RPE1 only	0	84	10691	11485	False
SAMM50	shared	94	43	10691	11485	True
SAP130	K562 only	99	0	10691	11485	False
SAP18	K562 only	40	0	10691	11485	False
SAP30BP	RPE1 only	0	34	10691	11485	False
SARS	K562 only	24	0	10691	11485	False
SARS2	shared	150	108	10691	11485	True
SART1	shared	247	95	10691	11485	True
SART3	shared	142	233	10691	11485	True
SASS6	RPE1 only	0	49	10691	11485	False
SBDS	RPE1 only	0	74	10691	11485	False
SBNO1	shared	127	156	10691	11485	True
SCAF1	shared	158	62	10691	11485	True
SCAP	RPE1 only	0	78	10691	11485	False
SCFD1	shared	103	62	10691	11485	True
SDAD1	shared	210	36	10691	11485	True
SDC1	shared	170	78	10691	11485	True
SDE2	shared	134	53	10691	11485	True
SDHAF2	RPE1 only	0	190	10691	11485	False
SDHC	shared	91	47	10691	11485	True
SEC13	K562 only	43	0	10691	11485	False
SEC16A	RPE1 only	0	210	10691	11485	False
SEC61A1	K562 only	129	0	10691	11485	False
SEC61B	RPE1 only	0	51	10691	11485	False
SEC61G	K562 only	84	0	10691	11485	False
SEC63	RPE1 only	0	75	10691	11485	False
SEH1L	shared	59	124	10691	11485	True
SEM1	shared	84	90	10691	11485	True
SENP6	RPE1 only	0	20	10691	11485	False
SEPSECS	RPE1 only	0	168	10691	11485	False
SERBP1	shared	87	96	10691	11485	True
SERF2	RPE1 only	0	33	10691	11485	False
SERPINB1	RPE1 only	0	87	10691	11485	False
SETD1A	shared	60	78	10691	11485	True
SETD5	RPE1 only	0	85	10691	11485	False
SETDB1	shared	123	121	10691	11485	True
SETX	RPE1 only	0	121	10691	11485	False
SF1	shared	18	29	10691	11485	False
SF3A1	K562 only	165	0	10691	11485	False
SF3A2	shared	236	136	10691	11485	True
SF3B2	shared	270	30	10691	11485	True
SF3B3	shared	215	146	10691	11485	True
SF3B4	shared	163	60	10691	11485	True
SF3B5	shared	69	62	10691	11485	True
SFPQ	shared	209	91	10691	11485	True
SFSWAP	shared	145	29	10691	11485	False
SH3KBP1	RPE1 only	0	16	10691	11485	False
SHOC2	RPE1 only	0	55	10691	11485	False
SHQ1	RPE1 only	0	149	10691	11485	False
SIN3A	shared	217	126	10691	11485	True
SIRT7	RPE1 only	0	237	10691	11485	False
SKA1	RPE1 only	0	58	10691	11485	False
SKA3	shared	109	63	10691	11485	True
SKP1	shared	64	24	10691	11485	False
SLBP	shared	63	35	10691	11485	True
SLC1A5	RPE1 only	0	1877	10691	11485	False
SLC25A42	RPE1 only	0	53	10691	11485	False
SLC2A8	RPE1 only	0	53	10691	11485	False
SLC35B1	RPE1 only	0	42	10691	11485	False
SLC35G2	RPE1 only	0	387	10691	11485	False
SLC39A9	shared	724	115	10691	11485	True
SLC7A5	K562 only	344	0	10691	11485	False
SLC7A6OS	shared	36	106	10691	11485	True
SLU7	shared	195	72	10691	11485	True
SMAGP	RPE1 only	0	170	10691	11485	False
SMARCB1	shared	118	103	10691	11485	True
SMARCC1	RPE1 only	0	76	10691	11485	False
SMARCE1	RPE1 only	0	50	10691	11485	False
SMC1A	shared	156	88	10691	11485	True
SMC2	shared	108	66	10691	11485	True
SMC3	shared	42	21	10691	11485	False
SMC4	shared	169	38	10691	11485	True
SMC5	RPE1 only	0	58	10691	11485	False
SMC6	RPE1 only	0	32	10691	11485	False
SMG1	RPE1 only	0	32	10691	11485	False
SMG5	shared	82	462	10691	11485	True
SMG6	RPE1 only	0	123	10691	11485	False
SMG7	RPE1 only	0	143	10691	11485	False
SMG9	RPE1 only	0	91	10691	11485	False
SMN2	shared	319	424	10691	11485	True
SMNDC1	RPE1 only	0	79	10691	11485	False
SMU1	shared	101	77	10691	11485	True
SNAPC1	shared	96	48	10691	11485	True
SNAPC2	shared	68	28	10691	11485	False
SNAPC3	shared	201	120	10691	11485	True
SNAPC5	shared	90	45	10691	11485	True
SNIP1	shared	43	46	10691	11485	True
SNRNP200	shared	92	95	10691	11485	True
SNRNP25	shared	125	47	10691	11485	True
SNRNP27	shared	42	95	10691	11485	True
SNRNP35	shared	159	53	10691	11485	True
SNRNP40	RPE1 only	0	217	10691	11485	False
SNRNP48	shared	179	74	10691	11485	True
SNRNP70	shared	85	39	10691	11485	True
SNRPA	RPE1 only	0	35	10691	11485	False
SNRPA1	shared	79	21	10691	11485	False
SNRPB	shared	112	42	10691	11485	True
SNRPC	shared	28	96	10691	11485	False
SNRPD1	shared	112	45	10691	11485	True
SNRPD2	RPE1 only	0	22	10691	11485	False
SNRPD3	shared	120	34	10691	11485	True
SNRPE	shared	129	40	10691	11485	True
SNRPF	shared	95	41	10691	11485	True
SNRPG	shared	327	60	10691	11485	True
SNTB2	RPE1 only	0	54	10691	11485	False
SNUPN	RPE1 only	0	64	10691	11485	False
SNW1	shared	115	88	10691	11485	True
SON	shared	244	59	10691	11485	True
SP1	RPE1 only	0	189	10691	11485	False
SP2	RPE1 only	0	72	10691	11485	False
SPATA5	RPE1 only	0	49	10691	11485	False
SPATA5L1	RPE1 only	0	55	10691	11485	False
SPC24	shared	95	69	10691	11485	True
SPC25	shared	181	473	10691	11485	True
SPCS2	RPE1 only	0	51	10691	11485	False
SPCS3	shared	115	128	10691	11485	True
SPEN	RPE1 only	0	104	10691	11485	False
SPG7	RPE1 only	0	115	10691	11485	False
SRA1	RPE1 only	0	161	10691	11485	False
SRBD1	shared	143	53	10691	11485	True
SRCAP	RPE1 only	0	110	10691	11485	False
SRF	RPE1 only	0	93	10691	11485	False
SRFBP1	K562 only	73	0	10691	11485	False
SRP14	RPE1 only	0	88	10691	11485	False
SRP19	RPE1 only	0	37	10691	11485	False
SRP54	shared	75	27	10691	11485	False
SRP68	shared	158	53	10691	11485	True
SRP72	shared	211	140	10691	11485	True
SRP9	RPE1 only	0	139	10691	11485	False
SRPRB	shared	153	181	10691	11485	True
SRRM1	shared	151	53	10691	11485	True
SRRM2	shared	148	58	10691	11485	True
SRRT	shared	260	73	10691	11485	True
SRSF1	shared	117	27	10691	11485	False
SRSF10	shared	124	111	10691	11485	True
SRSF11	shared	142	82	10691	11485	True
SRSF2	shared	39	30	10691	11485	True
SRSF3	shared	16	27	10691	11485	False
SRSF6	RPE1 only	0	148	10691	11485	False
SRSF7	shared	99	145	10691	11485	True
SS18L2	K562 only	130	0	10691	11485	False
SSBP1	K562 only	113	0	10691	11485	False
SSRP1	K562 only	473	0	10691	11485	False
SSU72	shared	68	226	10691	11485	True
STAG2	RPE1 only	0	110	10691	11485	False
STARD7	K562 only	98	0	10691	11485	False
STAT5B	RPE1 only	0	173	10691	11485	False
STIL	RPE1 only	0	68	10691	11485	False
STRAP	shared	91	67	10691	11485	True
STX5	RPE1 only	0	68	10691	11485	False
SUDS3	RPE1 only	0	127	10691	11485	False
SUGP1	shared	146	27	10691	11485	False
SUGT1	K562 only	94	0	10691	11485	False
SUMO2	RPE1 only	0	32	10691	11485	False
SUPT16H	shared	84	26	10691	11485	False
SUPT20H	RPE1 only	0	179	10691	11485	False
SUPT4H1	K562 only	55	0	10691	11485	False
SUPT5H	K562 only	367	0	10691	11485	False
SUPT6H	K562 only	256	0	10691	11485	False
SUPV3L1	K562 only	74	0	10691	11485	False
SURF6	shared	113	33	10691	11485	True
SYF2	shared	78	64	10691	11485	True
SYMPK	shared	80	67	10691	11485	True
SYNGR3	RPE1 only	0	77	10691	11485	False
SYS1	RPE1 only	0	68	10691	11485	False
TADA1	RPE1 only	0	138	10691	11485	False
TADA2A	RPE1 only	0	117	10691	11485	False
TADA2B	RPE1 only	0	82	10691	11485	False
TADA3	shared	139	60	10691	11485	True
TAF1	K562 only	92	0	10691	11485	False
TAF10	shared	38	23	10691	11485	False
TAF11	RPE1 only	0	113	10691	11485	False
TAF12	K562 only	65	0	10691	11485	False
TAF13	RPE1 only	0	182	10691	11485	False
TAF1C	K562 only	128	0	10691	11485	False
TAF1D	shared	99	75	10691	11485	True
TAF2	shared	137	67	10691	11485	True
TAF3	RPE1 only	0	58	10691	11485	False
TAF5	K562 only	34	0	10691	11485	False
TAF6	shared	111	75	10691	11485	True
TAF6L	RPE1 only	0	72	10691	11485	False
TAF7	shared	84	38	10691	11485	True
TAF8	shared	103	75	10691	11485	True
TAMM41	RPE1 only	0	115	10691	11485	False
TANGO6	shared	95	56	10691	11485	True
TARDBP	RPE1 only	0	1603	10691	11485	False
TARS	shared	124	52	10691	11485	True
TBCB	shared	97	37	10691	11485	True
TBCE	RPE1 only	0	125	10691	11485	False
TBL3	K562 only	70	0	10691	11485	False
TBP	shared	143	83	10691	11485	True
TBPL1	RPE1 only	0	100	10691	11485	False
TBX1	RPE1 only	0	306	10691	11485	False
TCERG1	shared	93	60	10691	11485	True
TCOF1	shared	86	32	10691	11485	True
TCP1	K562 only	63	0	10691	11485	False
TEFM	shared	192	98	10691	11485	True
TELO2	shared	73	47	10691	11485	True
TEN1	RPE1 only	0	127	10691	11485	False
TERF2	shared	47	61	10691	11485	True
TEX10	shared	153	78	10691	11485	True
TFAM	RPE1 only	0	3458	10691	11485	False
TFDP1	shared	140	164	10691	11485	True
TFIP11	K562 only	58	0	10691	11485	False
TFRC	RPE1 only	0	299	10691	11485	False
TGS1	RPE1 only	0	60	10691	11485	False
THAP1	shared	107	150	10691	11485	True
THAP11	shared	60	144	10691	11485	True
THG1L	shared	43	57	10691	11485	True
THOC1	shared	33	26	10691	11485	False
THOC2	K562 only	172	0	10691	11485	False
THOC3	shared	133	70	10691	11485	True
THOC5	shared	28	59	10691	11485	False
THOC6	K562 only	115	0	10691	11485	False
THOC7	shared	104	146	10691	11485	True
THRAP3	RPE1 only	0	119	10691	11485	False
TICRR	shared	147	28	10691	11485	False
TIMM10	RPE1 only	0	108	10691	11485	False
TIMM13	shared	160	117	10691	11485	True
TIMM22	RPE1 only	0	31	10691	11485	False
TIMM23B	shared	480	343	10691	11485	True
TIMM44	shared	38	50	10691	11485	True
TIMM9	shared	183	37	10691	11485	True
TINF2	RPE1 only	0	48	10691	11485	False
TIPIN	RPE1 only	0	33	10691	11485	False
TLN1	RPE1 only	0	32	10691	11485	False
TMA16	K562 only	163	0	10691	11485	False
TMED10	RPE1 only	0	160	10691	11485	False
TMED2	RPE1 only	0	70	10691	11485	False
TMEM161B	RPE1 only	0	58	10691	11485	False
TMEM214	RPE1 only	0	687	10691	11485	False
TMEM242	RPE1 only	0	597	10691	11485	False
TMEM258	RPE1 only	0	62	10691	11485	False
TMSB10	shared	190	79	10691	11485	True
TMX2	shared	94	137	10691	11485	True
TNPO3	shared	89	54	10691	11485	True
TNRC6A	RPE1 only	0	106	10691	11485	False
TOE1	RPE1 only	0	66	10691	11485	False
TOMM20	RPE1 only	0	63	10691	11485	False
TOMM22	shared	92	103	10691	11485	True
TOMM40	shared	94	77	10691	11485	True
TONSL	RPE1 only	0	43	10691	11485	False
TOP1	shared	91	36	10691	11485	True
TOP3A	RPE1 only	0	62	10691	11485	False
TOX4	RPE1 only	0	160	10691	11485	False
TP53I13	RPE1 only	0	141	10691	11485	False
TP53RK	RPE1 only	0	85	10691	11485	False
TPR	shared	71	126	10691	11485	True
TPRKB	RPE1 only	0	126	10691	11485	False
TPT1	RPE1 only	0	552	10691	11485	False
TPX2	shared	212	25	10691	11485	False
TRA2B	shared	139	90	10691	11485	True
TRAIP	RPE1 only	0	59	10691	11485	False
TRAPPC1	RPE1 only	0	76	10691	11485	False
TRAPPC11	RPE1 only	0	230	10691	11485	False
TRAPPC3	RPE1 only	0	73	10691	11485	False
TRAPPC4	RPE1 only	0	24	10691	11485	False
TRAPPC5	RPE1 only	0	101	10691	11485	False
TRAPPC8	RPE1 only	0	32	10691	11485	False
TREX2	shared	275	384	10691	11485	True
TRIAP1	RPE1 only	0	37	10691	11485	False
TRMT10C	K562 only	67	0	10691	11485	False
TRMT112	shared	179	60	10691	11485	True
TRMT5	shared	93	59	10691	11485	True
TRMT6	RPE1 only	0	114	10691	11485	False
TRNT1	RPE1 only	0	347	10691	11485	False
TRPM7	K562 only	123	0	10691	11485	False
TRRAP	K562 only	387	0	10691	11485	False
TSEN2	shared	168	85	10691	11485	True
TSEN54	RPE1 only	0	73	10691	11485	False
TSG101	shared	83	54	10691	11485	True
TSPYL5	RPE1 only	0	47	10691	11485	False
TSR1	shared	109	145	10691	11485	True
TSR2	shared	486	90	10691	11485	True
TTC1	RPE1 only	0	116	10691	11485	False
TTC27	shared	87	34	10691	11485	True
TTC4	RPE1 only	0	124	10691	11485	False
TTF2	RPE1 only	0	66	10691	11485	False
TTI1	shared	146	80	10691	11485	True
TTK	shared	185	76	10691	11485	True
TUBA1B	RPE1 only	0	197	10691	11485	False
TUBB	RPE1 only	0	249	10691	11485	False
TUBB2A	RPE1 only	0	149	10691	11485	False
TUBD1	RPE1 only	0	123	10691	11485	False
TUBG1	RPE1 only	0	134	10691	11485	False
TUBGCP2	shared	226	154	10691	11485	True
TUBGCP3	RPE1 only	0	69	10691	11485	False
TUBGCP4	RPE1 only	0	95	10691	11485	False
TUBGCP5	RPE1 only	0	94	10691	11485	False
TUBGCP6	RPE1 only	0	31	10691	11485	False
TUT1	shared	187	222	10691	11485	True
TWISTNB	K562 only	145	0	10691	11485	False
TXN	K562 only	79	0	10691	11485	False
TXNL4A	shared	72	23	10691	11485	False
TXNL4B	RPE1 only	0	169	10691	11485	False
TYK2	RPE1 only	0	58	10691	11485	False
U2AF1	shared	141	83	10691	11485	True
U2AF2	shared	73	33	10691	11485	True
U2SURP	shared	268	35	10691	11485	True
UBA1	shared	251	61	10691	11485	True
UBA2	shared	151	139	10691	11485	True
UBA3	shared	94	59	10691	11485	True
UBA5	RPE1 only	0	68	10691	11485	False
UBA52	shared	36	87	10691	11485	True
UBAP1	shared	102	30	10691	11485	True
UBE2H	RPE1 only	0	95	10691	11485	False
UBE2I	shared	45	67	10691	11485	True
UBE2L3	RPE1 only	0	122	10691	11485	False
UBE2M	RPE1 only	0	233	10691	11485	False
UBE2N	RPE1 only	0	103	10691	11485	False
UBE3C	RPE1 only	0	84	10691	11485	False
UBE3D	RPE1 only	0	143	10691	11485	False
UBL5	shared	209	120	10691	11485	True
UBQLN4	shared	145	46	10691	11485	True
UBR4	RPE1 only	0	72	10691	11485	False
UBR5	RPE1 only	0	102	10691	11485	False
UBTF	RPE1 only	0	132	10691	11485	False
UCHL5	RPE1 only	0	84	10691	11485	False
UFL1	shared	155	111	10691	11485	True
UFM1	shared	119	43	10691	11485	True
UHRF1	RPE1 only	0	103	10691	11485	False
UNC45A	RPE1 only	0	82	10691	11485	False
UPF1	shared	115	46	10691	11485	True
UPF2	shared	133	104	10691	11485	True
UPF3A	RPE1 only	0	31	10691	11485	False
UQCC2	K562 only	83	0	10691	11485	False
UQCRB	shared	92	102	10691	11485	True
UQCRC2	K562 only	63	0	10691	11485	False
UQCRFS1	shared	111	27	10691	11485	False
UQCRQ	shared	148	62	10691	11485	True
URB1	RPE1 only	0	27	10691	11485	False
URB2	shared	189	40	10691	11485	True
URI1	shared	55	82	10691	11485	True
URM1	RPE1 only	0	64	10691	11485	False
UROD	RPE1 only	0	239	10691	11485	False
USF2	RPE1 only	0	94	10691	11485	False
USP10	RPE1 only	0	75	10691	11485	False
USP14	RPE1 only	0	171	10691	11485	False
USP36	K562 only	151	0	10691	11485	False
USP39	shared	166	98	10691	11485	True
USP5	shared	171	126	10691	11485	True
USP7	RPE1 only	0	38	10691	11485	False
USP8	RPE1 only	0	45	10691	11485	False
USP9X	RPE1 only	0	113	10691	11485	False
USPL1	shared	96	36	10691	11485	True
UTP15	shared	139	34	10691	11485	True
UTP18	shared	59	48	10691	11485	True
UTP20	shared	92	31	10691	11485	True
UTP23	shared	160	48	10691	11485	True
UTP3	shared	27	54	10691	11485	False
UTP6	K562 only	64	0	10691	11485	False
UXT	shared	206	62	10691	11485	True
VARS	shared	191	80	10691	11485	True
VCP	RPE1 only	0	19	10691	11485	False
VHL	RPE1 only	0	61	10691	11485	False
VPS13D	RPE1 only	0	94	10691	11485	False
VPS18	RPE1 only	0	78	10691	11485	False
VPS25	RPE1 only	0	101	10691	11485	False
VPS28	shared	49	47	10691	11485	True
VPS29	shared	146	86	10691	11485	True
VPS33A	RPE1 only	0	64	10691	11485	False
VPS35	shared	40	118	10691	11485	True
VPS41	RPE1 only	0	246	10691	11485	False
VPS54	shared	306	230	10691	11485	True
VPS72	shared	95	88	10691	11485	True
WAC	shared	93	91	10691	11485	True
WARS	RPE1 only	0	57	10691	11485	False
WBP11	shared	205	109	10691	11485	True
WDFY3	RPE1 only	0	53	10691	11485	False
WDHD1	shared	175	40	10691	11485	True
WDR1	RPE1 only	0	26	10691	11485	False
WDR12	shared	174	41	10691	11485	True
WDR18	RPE1 only	0	68	10691	11485	False
WDR24	shared	78	44	10691	11485	True
WDR25	RPE1 only	0	38	10691	11485	False
WDR26	RPE1 only	0	46	10691	11485	False
WDR3	K562 only	329	0	10691	11485	False
WDR33	shared	79	32	10691	11485	True
WDR36	K562 only	250	0	10691	11485	False
WDR4	RPE1 only	0	140	10691	11485	False
WDR43	shared	47	30	10691	11485	True
WDR44	RPE1 only	0	89	10691	11485	False
WDR46	K562 only	63	0	10691	11485	False
WDR5	shared	75	50	10691	11485	True
WDR55	K562 only	94	0	10691	11485	False
WDR61	shared	98	59	10691	11485	True
WDR70	shared	29	132	10691	11485	False
WDR74	K562 only	96	0	10691	11485	False
WDR75	K562 only	132	0	10691	11485	False
WDR77	RPE1 only	0	105	10691	11485	False
WDR82	K562 only	86	0	10691	11485	False
WDTC1	shared	107	70	10691	11485	True
WEE1	RPE1 only	0	67	10691	11485	False
WNK1	RPE1 only	0	97	10691	11485	False
WTAP	RPE1 only	0	351	10691	11485	False
XAB2	K562 only	140	0	10691	11485	False
XPO1	shared	162	34	10691	11485	True
XPO5	RPE1 only	0	162	10691	11485	False
XRCC3	RPE1 only	0	65	10691	11485	False
XRCC5	shared	80	54	10691	11485	True
XRCC6	shared	27	69	10691	11485	False
XRN1	RPE1 only	0	48	10691	11485	False
XRN2	K562 only	57	0	10691	11485	False
YAE1	RPE1 only	0	38	10691	11485	False
YARS	RPE1 only	0	85	10691	11485	False
YBX1	RPE1 only	0	23	10691	11485	False
YBX3	RPE1 only	0	48	10691	11485	False
YEATS2	shared	233	69	10691	11485	True
YEATS4	shared	221	94	10691	11485	True
YJEFN3	RPE1 only	0	237	10691	11485	False
YKT6	RPE1 only	0	51	10691	11485	False
YPEL5	RPE1 only	0	73	10691	11485	False
YTHDC1	shared	157	184	10691	11485	True
YY1	RPE1 only	0	62	10691	11485	False
ZBTB14	RPE1 only	0	58	10691	11485	False
ZBTB17	shared	158	282	10691	11485	True
ZBTB44	RPE1 only	0	76	10691	11485	False
ZC3H13	RPE1 only	0	102	10691	11485	False
ZC3H18	shared	23	59	10691	11485	False
ZC3H3	RPE1 only	0	102	10691	11485	False
ZC3H4	RPE1 only	0	69	10691	11485	False
ZCCHC9	K562 only	49	0	10691	11485	False
ZCRB1	shared	141	75	10691	11485	True
ZDHHC7	RPE1 only	0	388	10691	11485	False
ZFC3H1	shared	105	83	10691	11485	True
ZFR	RPE1 only	0	116	10691	11485	False
ZMAT2	shared	348	192	10691	11485	True
ZMAT5	shared	98	50	10691	11485	True
ZNF143	RPE1 only	0	31	10691	11485	False
ZNF207	shared	122	87	10691	11485	True
ZNF236	shared	85	101	10691	11485	True
ZNF292	RPE1 only	0	129	10691	11485	False
ZNF335	shared	140	47	10691	11485	True
ZNF559	RPE1 only	0	57	10691	11485	False
ZNF574	shared	266	154	10691	11485	True
ZNF718	RPE1 only	0	400	10691	11485	False
ZNF720	RPE1 only	0	66	10691	11485	False
ZNF787	RPE1 only	0	34	10691	11485	False
ZNF84	RPE1 only	0	63	10691	11485	False
ZNHIT1	RPE1 only	0	34	10691	11485	False
ZNHIT2	RPE1 only	0	79	10691	11485	False
ZNHIT3	RPE1 only	0	75	10691	11485	False
ZNHIT6	K562 only	116	0	10691	11485	False
ZNRD1	shared	66	26	10691	11485	False
ZRSR2	RPE1 only	0	216	10691	11485	False
ZW10	RPE1 only	0	63	10691	11485	False
ZWINT	RPE1 only	0	49	10691	11485	False
